year,state,legal1820,dtype,agegr,count,pop,age,legal,beertaxa,beerpercap,winepercap,spiritpercap,totpercap,mrate
1987,1,0.09395354241132736,all,15-17 yrs,189,200549,16.008522033691406,0,0.46919015049934387,1.100000023841858,0.18000000715255737,0.6100000143051147,1.8899999856948853,94.2413101196289
1988,1,0,all,15-17 yrs,170,195975,16.034530639648438,0,0.4505494236946106,1.100000023841858,0.18000000715255737,0.6100000143051147,1.8899999856948853,86.745758056640625
1989,1,0,all,15-17 yrs,170,186770,16.025083541870117,0,0.42983871698379517,1.100000023841858,0.17000000178813934,0.6000000238418579,1.8700000047683716,91.02104187011719
1990,1,0,all,15-17 yrs,177,180632,16.01837921142578,0,0.40780413150787354,1.1200000047683716,0.18000000715255737,0.6100000143051147,1.9199999570846558,97.9892807006836
1991,1,0,all,15-17 yrs,178,179323,16.022329330444336,0,0.39133626222610474,1,0.17000000178813934,0.5899999737739563,1.7599999904632568,99.26222229003906
1992,1,0,all,15-17 yrs,169,181504,16.017372131347656,0,0.379900187253952,1.0199999809265137,0.1899999976158142,0.5899999737739563,1.7899999618530273,93.11089324951172
1993,1,0,all,15-17 yrs,159,183019,16.0085506439209,0,0.36885812878608704,1.1399999856948853,0.17000000178813934,0.5600000023841858,1.8600000143051147,86.87622833251953
1994,1,0,all,15-17 yrs,198,186505,16.017988204956055,0,0.359649121761322,1.159999966621399,0.17000000178813934,0.5400000214576721,1.8700000047683716,106.16337585449219
1995,1,0,all,15-17 yrs,192,190670,16.00020408630371,0,0.3497375547885895,1.1399999856948853,0.15000000596046448,0.5299999713897705,1.809999942779541,100.69754028320312
1996,1,0,all,15-17 yrs,162,192120,16.013309478759766,0,0.33970683813095093,1.1699999570846558,0.15000000596046448,0.5299999713897705,1.8600000143051147,84.322296142578125
1970,2,0.24151089787483215,all,15-17 yrs,31,16855,15.957876205444336,0,0.6443299055099487,1.1799999475479126,0.3700000047683716,2.069999933242798,3.619999885559082,183.92169189453125
1971,2,0.7000848054885864,all,15-17 yrs,32,18728,15.98547649383545,0,0.6172839403152466,1.3300000429153442,0.4300000071525574,2.1500000953674316,3.9100000858306885,170.86715698242188
1972,2,0.7017737030982971,all,15-17 yrs,40,20035,15.97519302368164,0,0.5980861186981201,1.2200000286102295,0.4099999964237213,1.8700000047683716,3.5,199.65060424804688
1973,2,0.70670318603515625,all,15-17 yrs,31,20805,15.974141120910645,0,0.5630630254745483,1.2599999904632568,0.4300000071525574,1.8700000047683716,3.549999952316284,149.0026397705078
1974,2,0.7087494730949402,all,15-17 yrs,31,21923,15.999544143676758,0,0.5070993900299072,1.409999966621399,0.4699999988079071,1.9800000190734863,3.859999895095825,141.4040069580078
1975,2,0.7029412984848022,all,15-17 yrs,29,23951,15.998747825622559,0,0.46468400955200195,1.4900000095367432,0.4699999988079071,2.1700000762939453,4.130000114440918,121.08053588867188
1976,2,0.7082101702690125,all,15-17 yrs,25,25392,15.986333847045898,0,0.43936729431152344,1.4800000190734863,0.49000000953674316,2.059999942779541,4.03000020980835,98.456207275390625
1977,2,0.7183303236961365,all,15-17 yrs,31,25017,15.988287925720215,0,0.4125412702560425,1.190000057220459,0.41999998688697815,1.7000000476837158,3.309999942779541,123.91574096679688
1978,2,0.7218514680862427,all,15-17 yrs,43,24633,15.98705005645752,0,0.38343560695648193,1.3899999856948853,0.44999998807907104,1.6799999475479126,3.5199999809265137,174.5625762939453
1979,2,0.6399285197257996,all,15-17 yrs,29,23819,15.994122505187988,0,0.3443526327610016,1.5,0.4699999988079071,1.649999976158142,3.619999885559082,121.75154113769531
1980,2,0.6909536123275757,all,15-17 yrs,31,22461,16.015270233154297,0,0.3033980429172516,1.5499999523162842,0.5,1.7000000476837158,3.759999990463257,138.0170135498047
1981,2,0.6593461632728577,all,15-17 yrs,24,22148,16.033140182495117,0,0.27502748370170593,1.7100000381469727,0.5699999928474426,1.8200000524520874,4.099999904632568,108.36193084716797
1982,2,0.6774168610572815,all,15-17 yrs,35,22242,16.030122756958008,0,0.2590673565864563,1.75,0.5600000023841858,1.7400000095367432,4.050000190734863,157.35995483398438
1983,2,0.6980699300765991,all,15-17 yrs,28,22971,16.015541076660156,0,0.35140562057495117,1.7599999904632568,0.6100000143051147,1.7000000476837158,4.059999942779541,121.892822265625
1984,2,0.5346471071243286,all,15-17 yrs,24,23702,15.984474182128906,0,0.33686235547065735,1.7300000190734863,0.5799999833106995,1.559999942779541,3.859999895095825,101.25727844238281
1985,2,0.1824607104063034,all,15-17 yrs,23,24921,15.954376220703125,0,0.3252788186073303,1.6799999475479126,0.5799999833106995,1.5299999713897705,3.7799999713897705,92.29164123535156
1986,2,0,all,15-17 yrs,33,26115,15.94937801361084,0,0.31934306025505066,1.6799999475479126,0.5600000023841858,1.2699999809265137,3.509999990463257,126.3641586303711
1987,2,0,all,15-17 yrs,23,25717,15.976980209350586,0,0.30809858441352844,1.6399999856948853,0.5400000214576721,1.2899999618530273,3.4600000381469727,89.43500518798828
1988,2,0,all,15-17 yrs,28,24426,16.003889083862305,0,0.2958579659461975,1.600000023841858,0.49000000953674316,1.2300000190734863,3.319999933242798,114.63195037841797
1989,2,0,all,15-17 yrs,33,23049,15.999002456665039,0,0.2822580635547638,1.5700000524520874,0.46000000834465027,1.2400000095367432,3.2699999809265137,143.17323303222656
1990,2,0,all,15-17 yrs,26,22980,15.977110862731934,0,0.267788827419281,1.6200000047683716,0.46000000834465027,1.25,3.3299999237060547,113.14186096191406
1991,2,0,all,15-17 yrs,27,23818,15.983541488647461,0,0.2569750249385834,1.5399999618530273,0.4300000071525574,1.1399999856948853,3.109999895095825,113.3596420288086
1992,2,0,all,15-17 yrs,22,25069,15.987833976745605,0,0.24946542084217072,1.5299999713897705,0.4099999964237213,1.0800000429153442,3.0199999809265137,87.7577896118164
1993,2,0,all,15-17 yrs,33,26057,15.988870620727539,0,0.24221453070640564,1.309999942779541,0.3199999928474426,0.9200000166893005,2.549999952316284,126.64543151855469
1994,2,0,all,15-17 yrs,24,27256,16.000659942626953,0,0.23616734147071838,1.5299999713897705,0.4000000059604645,1.100000023841858,3.0299999713897705,88.05400848388672
1995,2,0,all,15-17 yrs,16,28194,15.999184608459473,0,0.2296587973833084,1.4500000476837158,0.38999998569488525,1.0199999809265137,2.859999895095825,56.749664306640625
1996,2,0,all,15-17 yrs,37,29497,16.012136459350586,0,0.22307202219963074,1.309999942779541,0.3799999952316284,0.9399999976158142,2.630000114440918,125.43648529052734
1970,4,0,all,15-17 yrs,125,106770,15.97783088684082,0,0.20618556439876556,1.3700000047683716,0.3199999928474426,1.0499999523162842,2.7300000190734863,117.07408142089844
1971,4,0,all,15-17 yrs,150,115199,15.985528945922852,0,0.1975308656692505,1.3799999952316284,0.3499999940395355,1.0800000429153442,2.819999933242798,130.20945739746094
1972,4,0.27738747000694275,all,15-17 yrs,128,123622,15.974583625793457,0,0.19138756394386292,1.4900000095367432,0.3400000035762787,1.0700000524520874,2.9100000858306885,103.54144287109375
1973,4,0.664995014667511,all,15-17 yrs,141,132101,15.97951602935791,0,0.18018017709255219,1.5700000524520874,0.3400000035762787,1.090000033378601,3,106.73651123046875
1974,4,0.6677368879318237,all,15-17 yrs,146,138723,15.994290351867676,0,0.16227179765701294,1.6299999952316284,0.33000001311302185,1.090000033378601,3.059999942779541,105.2457046508789
1975,4,0.6632464528083801,all,15-17 yrs,126,140615,15.992966651916504,0,0.14869888126850128,1.6299999952316284,0.36000001430511475,1.0800000429153442,3.059999942779541,89.60636901855469
1976,4,0.6716262698173523,all,15-17 yrs,117,142776,15.987743377685547,0,0.14059753715991974,1.6699999570846558,0.38999998569488525,1.1200000047683716,3.1700000762939453,81.94654846191406
1977,4,0.678782045841217,all,15-17 yrs,156,144855,15.995443344116211,0,0.132013201713562,1.7000000476837158,0.3400000035762787,1.0499999523162842,3.0999999046325684,107.69390106201172
1978,4,0.6793755888938904,all,15-17 yrs,167,145872,16.007780075073242,0,0.12269938737154007,1.7699999809265137,0.3700000047683716,1.100000023841858,3.25,114.48393249511719
1979,4,0.6786624193191528,all,15-17 yrs,152,146762,16.009151458740234,0,0.11019283533096313,1.8600000143051147,0.38999998569488525,1.1699999570846558,3.4200000762939453,103.56904602050781
1980,4,0.6830323338508606,all,15-17 yrs,139,146391,16.01795196533203,0,0.09708737581968307,1.690000057220459,0.36000001430511475,0.9800000190734863,3.0299999713897705,94.9511947631836
1981,4,0.6847169995307922,all,15-17 yrs,124,142320,16.03657341003418,0,0.08800879865884781,1.7799999713897705,0.41999998688697815,1.0099999904632568,3.2200000286102295,87.12760162353516
1982,4,0.6810897588729858,all,15-17 yrs,104,138459,16.031604766845703,0,0.08290155231952667,1.7400000095367432,0.4000000059604645,0.9900000095367432,3.130000114440918,75.11248779296875
1983,4,0.6871956586837769,all,15-17 yrs,101,135998,16.018815994262695,0,0.0803212821483612,1.6200000047683716,0.4399999976158142,1,3.059999942779541,74.26580047607422
1984,4,0.6938179135322571,all,15-17 yrs,113,138413,16.005468368530273,0,0.15399421751499176,1.5700000524520874,0.44999998807907104,1.059999942779541,3.0799999237060547,81.63973236083984
1985,4,0.5194456577301025,all,15-17 yrs,131,143897,15.990500450134277,0,0.14869888126850128,1.6699999570846558,0.46000000834465027,1,3.119999885559082,91.03733825683594
1986,4,0.1716172993183136,all,15-17 yrs,149,150747,15.993074417114258,0,0.14598539471626282,1.7699999809265137,0.46000000834465027,0.9100000262260437,3.140000104904175,98.84110260009766
1987,4,0,all,15-17 yrs,135,154385,16.027482986450195,0,0.14084507524967194,1.6699999570846558,0.46000000834465027,0.8600000143051147,2.990000009536743,87.4437255859375
1988,4,0,all,15-17 yrs,136,152857,16.048824310302734,0,0.13524936139583588,1.6399999856948853,0.41999998688697815,0.8799999952316284,2.940000057220459,88.9720458984375
1989,4,0,all,15-17 yrs,116,148929,16.022546768188477,0,0.12903225421905518,1.6799999475479126,0.36000001430511475,0.8500000238418579,2.890000104904175,77.88946533203125
1990,4,0,all,15-17 yrs,118,149996,15.99155330657959,0,0.12241774797439575,1.590000033378601,0.3700000047683716,0.800000011920929,2.7699999809265137,78.66876220703125
1991,4,0,all,15-17 yrs,149,151389,15.995508193969727,0,0.11747430264949799,1.5800000429153442,0.3499999940395355,0.7799999713897705,2.7100000381469727,98.42194366455078
1992,4,0,all,15-17 yrs,120,156567,15.995094299316406,0,0.11404133588075638,1.5800000429153442,0.3100000023841858,0.800000011920929,2.690000057220459,76.644500732421875
1993,4,0,all,15-17 yrs,138,162176,15.986335754394531,0,0.11072663962841034,1.5800000429153442,0.27000001072883606,0.7599999904632568,2.619999885559082,85.09273529052734
1994,4,0,all,15-17 yrs,147,169606,15.997960090637207,0,0.1079622134566307,1.5199999809265137,0.28999999165534973,0.699999988079071,2.5,86.67146301269531
1995,4,0,all,15-17 yrs,187,181010,15.978415489196777,0,0.10498687624931335,1.4700000286102295,0.28999999165534973,0.6800000071525574,2.440000057220459,103.30921173095703
1996,4,0,all,15-17 yrs,149,190836,15.985799789428711,0,0.10197578370571136,1.5199999809265137,0.33000001311302185,0.7300000190734863,2.5799999237060547,78.0775146484375
1970,5,0,all,15-17 yrs,111,114329,15.977258682250977,0,0.4156967103481293,0.7099999785423279,0.12999999523162842,0.5899999737739563,1.4299999475479126,97.088226318359375
1971,5,0,all,15-17 yrs,110,118489,15.99081802368164,0,0.39824768900871277,0.7699999809265137,0.14000000059604645,0.5600000023841858,1.4700000286102295,92.83562469482422
1972,5,0,all,15-17 yrs,148,121659,15.986231803894043,0,0.3858620226383209,0.7699999809265137,0.12999999523162842,0.5699999928474426,1.4700000286102295,121.65150451660156
1973,5,0,all,15-17 yrs,119,124273,15.990094184875488,0,0.3632664680480957,0.8199999928474426,0.12999999523162842,0.6100000143051147,1.559999942779541,95.75691986083984
1974,5,0,all,15-17 yrs,142,126534,15.997684478759766,0,0.32716089487075806,0.8899999856948853,0.12999999523162842,0.6499999761581421,1.659999966621399,112.2228012084961
1975,5,0,all,15-17 yrs,115,129019,15.994837760925293,0,0.29979613423347473,0.8899999856948853,0.11999999731779099,0.6299999952316284,1.6399999856948853,89.1341552734375
1976,5,0,all,15-17 yrs,110,128565,15.993481636047363,0,0.2834627628326416,0.8600000143051147,0.11999999731779099,0.6700000166893005,1.659999966621399,85.5598373413086
1977,5,0,all,15-17 yrs,119,129599,15.993888854980469,0,0.2661556601524353,0.9200000166893005,0.10000000149011612,0.6299999952316284,1.649999976158142,91.82169342041016
1978,5,0,all,15-17 yrs,111,131023,15.991581916809082,0,0.24737779796123505,0.9700000286102295,0.10999999940395355,0.7300000190734863,1.8200000524520874,84.71794891357422
1979,5,0,all,15-17 yrs,109,130979,15.996602058410645,0,0.22216297686100006,0.9300000071525574,0.10000000149011612,0.5699999928474426,1.600000023841858,83.21944427490234
1980,5,0,all,15-17 yrs,131,128751,16.01544761657715,0,0.19574066996574402,1,0.11999999731779099,0.6899999976158142,1.809999942779541,101.74678039550781
1981,5,0,all,15-17 yrs,92,122480,16.043476104736328,0,0.17743709683418274,1.059999942779541,0.11999999731779099,0.6800000071525574,1.8700000047683716,75.11430358886719
1982,5,0,all,15-17 yrs,78,115033,16.04391860961914,0,0.16714023053646088,1.0299999713897705,0.11999999731779099,0.6299999952316284,1.7799999713897705,67.80663299560547
1983,5,0,all,15-17 yrs,77,109538,16.024028778076172,0,0.16193807125091553,1.0299999713897705,0.12999999523162842,0.6299999952316284,1.7799999713897705,70.29524230957031
1984,5,0,all,15-17 yrs,89,108606,16.006933212280273,0,0.1552361100912094,1.0199999809265137,0.11999999731779099,0.6399999856948853,1.7799999713897705,81.94759368896484
1985,5,0,all,15-17 yrs,96,109878,15.992018699645996,0,0.14989806711673737,1.0299999713897705,0.12999999523162842,0.5799999833106995,1.75,87.36962890625
1986,5,0,all,15-17 yrs,95,112696,15.98781681060791,0,0.14716270565986633,1.059999942779541,0.09000000357627869,0.47999998927116394,1.6299999952316284,84.297576904296875
1987,5,0,all,15-17 yrs,117,113147,16.01590919494629,0,0.22007042169570923,1.0800000429153442,0.10999999940395355,0.5299999713897705,1.7100000381469727,103.40530395507812
1988,5,0,all,15-17 yrs,107,110897,16.039928436279297,0,0.21132713556289673,1.0700000524520874,0.14000000059604645,0.5299999713897705,1.7400000095367432,96.485931396484375
1989,5,0,all,15-17 yrs,120,106585,16.023820877075195,0,0.2016129046678543,1.0800000429153442,0.12999999523162842,0.5699999928474426,1.7799999713897705,112.58619689941406
1990,5,0,all,15-17 yrs,109,105007,16.006399154663086,0,0.19127774238586426,1.1200000047683716,0.12999999523162842,0.6100000143051147,1.8600000143051147,103.80260467529297
1991,5,0,all,15-17 yrs,89,105146,16.012126922607422,0,0.18355360627174377,1.1200000047683716,0.10999999940395355,0.5799999833106995,1.809999942779541,84.64421081542969
1992,5,0,all,15-17 yrs,86,107657,16.002479553222656,0,0.17818959057331085,1.1299999952316284,0.11999999731779099,0.6499999761581421,1.899999976158142,79.883331298828125
1993,5,0,all,15-17 yrs,107,108859,15.999788284301758,0,0.17301037907600403,1.100000023841858,0.10999999940395355,0.5799999833106995,1.7899999618530273,98.29228973388672
1994,5,0,all,15-17 yrs,113,111595,16.00596809387207,0,0.16869096457958221,1.059999942779541,0.12999999523162842,0.46000000834465027,1.649999976158142,101.25901794433594
1995,5,0,all,15-17 yrs,95,115159,15.982528686523438,0,0.16404199600219727,1.0800000429153442,0.11999999731779099,0.5099999904632568,1.7000000476837158,82.49463653564453
1996,5,0,all,15-17 yrs,99,117837,15.98902702331543,0,0.15933716297149658,1.100000023841858,0.11999999731779099,0.5299999713897705,1.75,84.01435852050781
1970,6,0,all,15-17 yrs,967,1112745,15.990154266357422,0,0.10309278219938278,1.100000023841858,0.6299999952316284,1.3700000047683716,3.109999895095825,86.90221405029297
1971,6,0,all,15-17 yrs,1047,1138589,15.991659164428711,0,0.09876543283462524,1.1299999952316284,0.6800000071525574,1.3799999952316284,3.190000057220459,91.95591735839844
1972,6,0,all,15-17 yrs,1054,1165220,15.983013153076172,0,0.09569378197193146,1.1699999570846558,0.6600000262260437,1.3300000429153442,3.1600000858306885,90.45502471923828
1973,6,0,all,15-17 yrs,1041,1190568,15.989583015441895,0,0.09009008854627609,1.190000057220459,0.6800000071525574,1.340000033378601,3.2100000381469727,87.437255859375
1974,6,0,all,15-17 yrs,943,1211541,16.004695892333984,0,0.08113589882850647,1.2999999523162842,0.6800000071525574,1.350000023841858,3.3299999237060547,77.83475494384766
1975,6,0,all,15-17 yrs,875,1219627,16.003028869628906,0,0.07434944063425064,1.2699999809265137,0.699999988079071,1.3600000143051147,3.3299999237060547,71.74324798583984
1976,6,0,all,15-17 yrs,934,1241314,15.993949890136719,0,0.07029876857995987,1.3200000524520874,0.699999988079071,1.340000033378601,3.359999895095825,75.24285125732422
1977,6,0,all,15-17 yrs,1063,1255913,16.00194549560547,0,0.066006600856781,1.309999942779541,0.6700000166893005,1.2799999713897705,3.25,84.639617919921875
1978,6,0,all,15-17 yrs,1021,1265240,16.017555236816406,0,0.061349693685770035,1.3600000143051147,0.6800000071525574,1.3200000524520874,3.359999895095825,80.69615173339844
1979,6,0,all,15-17 yrs,1029,1250089,16.018896102905273,0,0.05509641766548157,1.4199999570846558,0.699999988079071,1.2799999713897705,3.4000000953674316,82.31414031982422
1980,6,0,all,15-17 yrs,1058,1227216,16.029788970947266,0,0.04854368790984154,1.4199999570846558,0.7099999785423279,1.25,3.380000114440918,86.211395263671875
1981,6,0,all,15-17 yrs,856,1184239,16.041053771972656,0,0.044004399329423904,1.4299999475479126,0.7200000286102295,1.2100000381469727,3.359999895095825,72.28270721435547
1982,6,0,all,15-17 yrs,744,1148300,16.031482696533203,0,0.041450776159763336,1.3700000047683716,0.7200000286102295,1.1399999856948853,3.2300000190734863,64.79142761230469
1983,6,0,all,15-17 yrs,729,1131222,16.01761245727539,0,0.0401606410741806,1.3700000047683716,0.75,1.1100000143051147,3.2300000190734863,64.4435806274414
1984,6,0,all,15-17 yrs,742,1141094,16.002052307128906,0,0.03849855437874794,1.3799999952316284,0.7400000095367432,1.0700000524520874,3.190000057220459,65.02531433105469
1985,6,0,all,15-17 yrs,794,1173339,15.994568824768066,0,0.03717472031712532,1.3200000524520874,0.7799999713897705,1.0199999809265137,3.119999885559082,67.67012786865234
1986,6,0,all,15-17 yrs,878,1215494,16.006755828857422,0,0.036496348679065704,1.3600000143051147,0.7900000214576721,0.9599999785423279,3.109999895095825,72.2340087890625
1987,6,0,all,15-17 yrs,812,1214312,16.04643440246582,0,0.035211268812417984,1.3600000143051147,0.7400000095367432,0.9300000071525574,3.0299999713897705,66.869140625
1988,6,0,all,15-17 yrs,773,1186929,16.066904067993164,0,0.03381234034895897,1.340000033378601,0.6800000071525574,0.8899999856948853,2.9000000953674316,65.12605285644531
1989,6,0,all,15-17 yrs,855,1152224,16.043724060058594,0,0.032258063554763794,1.309999942779541,0.6100000143051147,0.8700000047683716,2.7899999618530273,74.2043228149414
1990,6,0,all,15-17 yrs,859,1170941,16.010555267333984,0,0.030604436993598938,1.3200000524520874,0.5899999737739563,0.8700000047683716,2.7799999713897705,73.35980224609375
1991,6,0,all,15-17 yrs,888,1160232,15.999171257019043,0,0.14684288203716278,1.2200000286102295,0.49000000953674316,0.75,2.4600000381469727,76.53641510009766
1992,6,0,all,15-17 yrs,893,1178723,15.99530029296875,0,0.14255167543888092,1.2799999713897705,0.5099999904632568,0.75,2.5399999618530273,75.75995635986328
1993,6,0,all,15-17 yrs,914,1186448,15.991765022277832,0,0.13840830326080322,1.1699999570846558,0.47999998927116394,0.6899999976158142,2.3499999046325684,77.03666687011719
1994,6,0,all,15-17 yrs,851,1212530,15.994898796081543,0,0.13495276868343353,1.090000033378601,0.4699999988079071,0.6800000071525574,2.240000009536743,70.18383026123047
1995,6,0,all,15-17 yrs,871,1245775,15.977025985717773,0,0.1312336027622223,1.1399999856948853,0.44999998807907104,0.6399999856948853,2.2300000190734863,69.91632080078125
1996,6,0,all,15-17 yrs,808,1292840,15.984362602233887,0,0.1274697333574295,1.1100000143051147,0.49000000953674316,0.6399999856948853,2.240000009536743,62.49806594848633
1970,8,1,all,15-17 yrs,150,130002,15.984253883361816,0,0.15463916957378387,1.1799999475479126,0.3100000023841858,1.2599999904632568,2.75,115.38284301757812
1971,8,1,all,15-17 yrs,173,137040,15.986660957336426,0,0.14814814925193787,1.2100000381469727,0.3799999952316284,1.3300000429153442,2.9200000762939453,126.24051666259766
1972,8,1,all,15-17 yrs,166,144498,15.977086067199707,0,0.1435406655073166,1.2799999713897705,0.3700000047683716,1.2799999713897705,2.930000066757202,114.88048553466797
1973,8,1,all,15-17 yrs,134,151209,15.983949661254883,0,0.13513512909412384,1.340000033378601,0.38999998569488525,1.3200000524520874,3.049999952316284,88.61906433105469
1974,8,1,all,15-17 yrs,147,154594,15.993939399719238,0,0.1217038556933403,1.4199999570846558,0.38999998569488525,1.3700000047683716,3.190000057220459,95.08777618408203
1975,8,1,all,15-17 yrs,117,155509,15.992527961730957,0,0.11152416467666626,1.4299999475479126,0.41999998688697815,1.3899999856948853,3.240000009536743,75.23680114746094
1976,8,1,all,15-17 yrs,118,157587,15.98603343963623,0,0.14059753715991974,1.4600000381469727,0.46000000834465027,1.3700000047683716,3.2899999618530273,74.8792724609375
1977,8,1,all,15-17 yrs,152,159106,15.993249893188477,0,0.132013201713562,1.4299999475479126,0.36000001430511475,1.2200000286102295,3.009999990463257,95.53379821777344
1978,8,1,all,15-17 yrs,142,159178,16.010648727416992,0,0.12269938737154007,1.6399999856948853,0.4699999988079071,1.4299999475479126,3.5399999618530273,89.20830535888672
1979,8,1,all,15-17 yrs,118,156846,16.014263153076172,0,0.11019283533096313,1.6799999475479126,0.4699999988079071,1.3700000047683716,3.5199999809265137,75.2330322265625
1980,8,1,all,15-17 yrs,125,152154,16.025388717651367,0,0.09708737581968307,1.5700000524520874,0.4699999988079071,1.309999942779541,3.3499999046325684,82.15361022949219
1981,8,1,all,15-17 yrs,105,146763,16.040752410888672,0,0.08800879865884781,1.6299999952316284,0.4399999976158142,1.2599999904632568,3.3299999237060547,71.543914794921875
1982,8,1,all,15-17 yrs,93,142536,16.028188705444336,0,0.08290155231952667,1.6399999856948853,0.46000000834465027,1.1799999475479126,3.2799999713897705,65.246673583984375
1983,8,1,all,15-17 yrs,98,140833,16.003976821899414,0,0.0803212821483612,1.5700000524520874,0.46000000834465027,1.1200000047683716,3.1500000953674316,69.5859603881836
1984,8,1,all,15-17 yrs,125,142486,15.986946105957031,0,0.07699710875749588,1.5099999904632568,0.46000000834465027,1.1200000047683716,3.0899999141693115,87.72792053222656
1985,8,1,all,15-17 yrs,104,145731,15.981019973754883,0,0.07434944063425064,1.4700000286102295,0.5,1.1799999475479126,3.1500000953674316,71.36436462402344
1986,8,1,all,15-17 yrs,116,149438,15.989781379699707,0,0.07299269735813141,1.4700000286102295,0.46000000834465027,0.9399999976158142,2.869999885559082,77.6241683959961
1987,8,0.7903138399124146,all,15-17 yrs,99,146920,16.02427101135254,0,0.07042253762483597,1.4299999475479126,0.4399999976158142,0.9300000071525574,2.799999952316284,67.38361358642578
1988,8,0.3277689516544342,all,15-17 yrs,97,139361,16.049575805664062,0,0.06762468069791794,1.4199999570846558,0.38999998569488525,0.9100000262260437,2.7200000286102295,69.60340118408203
1989,8,0.041140116751194,all,15-17 yrs,82,130968,16.027456283569336,0,0.06451612710952759,1.399999976158142,0.3700000047683716,0.8399999737739563,2.5999999046325684,62.610713958740234
1990,8,0,all,15-17 yrs,101,129829,15.993522644042969,0,0.061208873987197876,1.350000023841858,0.28999999165534973,0.75,2.390000104904175,77.79463958740234
1991,8,0,all,15-17 yrs,98,131665,15.992511749267578,0,0.05873715132474899,1.3899999856948853,0.3499999940395355,0.8700000047683716,2.609999895095825,74.43132019042969
1992,8,0,all,15-17 yrs,114,138253,15.989381790161133,0,0.05702066794037819,1.340000033378601,0.36000001430511475,0.8100000023841858,2.5199999809265137,82.45752716064453
1993,8,0,all,15-17 yrs,108,143634,15.991025924682617,0,0.05536331981420517,1.399999976158142,0.36000001430511475,0.8600000143051147,2.630000114440918,75.19110870361328
1994,8,0,all,15-17 yrs,127,150459,15.999661445617676,0,0.05398110672831535,1.3600000143051147,0.3499999940395355,0.8399999737739563,2.549999952316284,84.40837860107422
1995,8,0,all,15-17 yrs,112,158133,15.986796379089355,0,0.05249343812465668,1.340000033378601,0.3499999940395355,0.7799999713897705,2.4700000286102295,70.82645416259766
1996,8,0,all,15-17 yrs,97,165947,15.997746467590332,0,0.05098789185285568,1.3600000143051147,0.3700000047683716,0.8399999737739563,2.569999933242798,58.452396392822266
